2, 0.087429
3, 0.111392
4, 0.113794
5, 0.138294
6, 0.157196
7, 0.175550
8, 0.190651
9, 0.294939
10, 0.232410
11, 0.267681
12, 0.276618
13, 0.316059
14, 0.330286
15, 0.337244
16, 0.359178
17, 0.388454
18, 0.407929
19, 0.433989
20, 0.428285
21, 0.460827
22, 0.483067
23, 0.498130
24, 0.515289
25, 0.532986
26, 0.586631
27, 0.567530
28, 0.591642
29, 0.623510
30, 0.632544
31, 0.667160
32, 0.663846
33, 0.698635
34, 0.716535
35, 0.723091
36, 0.761929
37, 0.772306
38, 0.795127
39, 0.821953
40, 0.841799
41, 0.871409
42, 0.895118
43, 0.908048
44, 0.934047
45, 0.956832
46, 0.959792
47, 0.980008
48, 0.996277
49, 1.023527
50, 1.029494
51, 1.046368
52, 1.094092
53, 1.140249
54, 1.132782
55, 1.156248
56, 1.179887
57, 1.183064
58, 1.210854
59, 1.244470
60, 1.266360
61, 1.282731
62, 1.326571
63, 1.345764
64, 1.348149
65, 1.377431
66, 1.356590
67, 1.396085
68, 1.396210
69, 1.423326
